timestamp,memory_used_mb,memory_percent
2026-02-10 16:45:41,3,,0
2026-02-10 16:45:41,3,,0
2026-02-10 16:45:46,3,,0
2026-02-10 16:45:47,3,,0
2026-02-10 16:45:51,3,,0
2026-02-10 16:45:52,3,,0
2026-02-10 16:45:56,3,,0
2026-02-10 16:45:57,3,,0
2026-02-10 16:46:01,3,,0
2026-02-10 16:46:02,3,,0
2026-02-10 16:46:07,3,,0
2026-02-10 16:46:08,3,,0
2026-02-10 16:46:12,3,,0
2026-02-10 16:46:13,3,,0
2026-02-10 16:46:17,3,,0
2026-02-10 16:46:18,3,,0
2026-02-10 16:46:22,3,,0
2026-02-10 16:46:23,3,,0
2026-02-10 16:46:27,3,,0
2026-02-10 16:46:29,3,,0
2026-02-10 16:46:32,3,,0
2026-02-10 16:46:33,3,,0
2026-02-10 16:46:38,3,,0
2026-02-10 16:46:39,3,,0
2026-02-10 16:46:43,3,,0
2026-02-10 16:46:44,3,,0
2026-02-10 16:46:48,3,,0
2026-02-10 16:46:49,3,,0
2026-02-10 16:46:53,3,,0
2026-02-10 16:46:54,3,,0
2026-02-10 16:46:58,3,,0
2026-02-10 16:47:00,3,,0
2026-02-10 16:47:03,3,,0
2026-02-10 16:47:04,3,,0
2026-02-10 16:47:09,3,,0
2026-02-10 16:47:10,3,,0
2026-02-10 16:47:14,3,,0
2026-02-10 16:47:15,3,,0
2026-02-10 16:47:19,3,,0
2026-02-10 16:47:20,3,,0
2026-02-10 16:47:24,3,,0
2026-02-10 16:47:25,3,,0
2026-02-10 16:47:29,3,,0
2026-02-10 16:47:31,3,,0
2026-02-10 16:47:34,3,,0
2026-02-10 16:47:35,3,,0
2026-02-10 16:47:40,3,,0
2026-02-10 16:47:41,3,,0
2026-02-10 16:47:45,3,,0
2026-02-10 16:47:46,3,,0
2026-02-10 16:47:50,3,,0
2026-02-10 16:47:52,3,,0
2026-02-10 16:47:55,3,,0
2026-02-10 16:47:56,3,,0
2026-02-10 16:48:00,3,,0
2026-02-10 16:48:02,3,,0
2026-02-10 16:48:05,3,,0
2026-02-10 16:48:07,3,,0
2026-02-10 16:48:11,3,,0
2026-02-10 16:48:12,3,,0
2026-02-10 16:48:16,3,,0
2026-02-10 16:48:17,3,,0
2026-02-10 16:48:21,3,,0
2026-02-10 16:48:22,3,,0
2026-02-10 16:48:26,3,,0
2026-02-10 16:48:27,3,,0
2026-02-10 16:48:31,3,,0
2026-02-10 16:48:33,3,,0
2026-02-10 16:48:36,3,,0
2026-02-10 16:48:38,3,,0
2026-02-10 16:48:42,3,,0
2026-02-10 16:48:43,3,,0
2026-02-10 16:48:47,3,,0
2026-02-10 16:48:48,3,,0
2026-02-10 16:48:52,3,,0
2026-02-10 16:48:54,3,,0
2026-02-10 16:48:57,3,,0
2026-02-10 16:48:58,3,,0
2026-02-10 16:49:02,3,,0
2026-02-10 16:49:04,3,,0
2026-02-10 16:49:08,3,,0
2026-02-10 16:49:09,3,,0
2026-02-10 16:49:13,3,,0
2026-02-10 16:49:14,3,,0
2026-02-10 16:49:18,3,,0
2026-02-10 16:49:19,3,,0
2026-02-10 16:49:23,3,,0
2026-02-10 16:49:25,3,,0
2026-02-10 16:49:28,3,,0
2026-02-10 16:49:33,3,,0
2026-02-10 16:49:35,3,,0
2026-02-10 16:49:39,3,,0
2026-02-10 16:49:44,3,,0
2026-02-10 16:49:45,3,,0
2026-02-10 16:49:49,3,,0
2026-02-10 16:49:54,3,,0
2026-02-10 16:49:56,3,,0
2026-02-10 16:49:59,3,,0
2026-02-10 16:50:04,3,,0
2026-02-10 16:50:06,3,,0
2026-02-10 16:50:10,3,,0
2026-02-10 16:50:15,3,,0
2026-02-10 16:50:16,3,,0
2026-02-10 16:50:20,3,,0
2026-02-10 16:50:25,3,,0
2026-02-10 16:50:27,3,,0
2026-02-10 16:50:30,3,,0
2026-02-10 16:50:35,3,,0
2026-02-10 16:50:37,3,,0
2026-02-10 16:50:41,3,,0
2026-02-10 16:50:46,3,,0
2026-02-10 16:50:47,3,,0
2026-02-10 16:50:51,3,,0
2026-02-10 16:50:56,3,,0
2026-02-10 16:50:57,3,,0
2026-02-10 16:51:01,3,,0
2026-02-10 16:51:07,3,,0
2026-02-10 16:51:08,3,,0
2026-02-10 16:51:12,3,,0
2026-02-10 16:51:17,3,,0
2026-02-10 16:51:19,3,,0
2026-02-10 16:51:22,3,,0
2026-02-10 16:51:27,3,,0
2026-02-10 16:51:29,3,,0
2026-02-10 16:51:32,3,,0
2026-02-10 16:51:38,3,,0
2026-02-10 16:51:40,3,,0
2026-02-10 16:51:43,3,,0
2026-02-10 16:51:48,3,,0
2026-02-10 16:51:50,3,,0
2026-02-10 16:51:53,3,,0
2026-02-10 16:52:00,3,,0
2026-02-10 16:52:03,3,,0
2026-02-10 16:52:11,3,,0
2026-02-10 16:52:14,3,,0
2026-02-10 16:52:21,3,,0
2026-02-10 16:52:24,3,,0
2026-02-10 16:52:32,3,,0
2026-02-10 16:52:34,3,,0
2026-02-10 16:52:42,3,,0
2026-02-10 16:52:45,3,,0
2026-02-10 16:52:52,3,,0
2026-02-10 16:52:55,3,,0
2026-02-10 16:53:03,3,,0
2026-02-10 16:53:05,3,,0
2026-02-10 16:53:13,3,,0
2026-02-10 16:53:16,3,,0
2026-02-10 16:53:23,3,,0
2026-02-10 16:53:26,3,,0
2026-02-10 16:53:34,3,,0
2026-02-10 16:53:36,3,,0
2026-02-10 16:53:44,3,,0
2026-02-10 16:53:47,3,,0
2026-02-10 16:53:54,3,,0
2026-02-10 16:53:57,3,,0
2026-02-10 16:54:05,3,,0
2026-02-10 16:54:07,3,,0
2026-02-10 16:54:15,3,,0
2026-02-10 16:54:18,3,,0
2026-02-10 16:54:25,3,,0
2026-02-10 16:54:36,3,,0
