idx,snr_H1,snr_L1,snr_network,chirp_mass,mass1,mass2,distance,inclination
5940,2.0445375819783345,1.0825232087957362,2.313436928403978,11.599303341297357,26.2602596282959,7.30072021484375,1285.524169921875,1.748936653137207
5941,32.36028000924743,25.203417485593004,41.017069315469065,36.261694517759686,54.92974090576172,32.04304122924805,335.7720947265625,2.2810487747192383
5942,0.2669721438672018,0.46344886908312205,0.5348448184805333,16.96116520809875,8.148032188415527,54.60840606689453,1454.56591796875,1.1090774536132812
5943,0.4796856543105244,0.1879308514778136,0.5151857256257125,26.62569343864126,81.73799133300781,13.252707481384277,4268.11767578125,1.4682594537734985
5944,5.645759008564528,2.143806152400397,6.039081022958486,60.86593354527601,63.74982833862305,76.81304931640625,2272.65234375,1.6504372358322144
5945,2.3130530183279676,0.6588607071296053,2.405059603626373,70.3912711903261,78.78868865966797,82.99356842041016,3912.312744140625,1.6774057149887085
5946,4.6084475947019286,3.924548456231876,6.053087626858378,39.50595890011651,25.5458927154541,86.47295379638672,2094.001953125,2.0561187267303467
5947,55.069473819432154,40.86957907503882,68.57819945522027,27.663051453679696,58.45718002319336,18.403343200683594,195.76026916503906,2.937631845474243
5948,0.12085816137546589,0.34075276970301377,0.3615510271473908,47.99571303570319,76.03604125976562,40.74864959716797,4656.9267578125,1.6041861772537231
5949,6.511352479047693,1.8054170035795154,6.757014256549602,64.15808272175822,71.71427154541016,75.74852752685547,3591.181884765625,2.2050275802612305
5950,2.5838033910793823,2.064908953957792,3.3075502946876525,44.44991673522982,52.87913131713867,49.314579010009766,4350.0595703125,0.9776712656021118
5951,3.48941761953477,1.2832699929491627,3.717904947456759,35.533596582464355,74.8376235961914,23.703815460205078,4181.72998046875,2.6440298557281494
5952,0.6183928958523749,1.283540296615477,1.4247404909935117,50.917945806291286,60.30021667480469,56.743370056152344,3913.8056640625,2.056070566177368
5953,4.841906591523914,2.0667705274387966,5.264560746551641,33.72484324618934,81.18342590332031,20.220943450927734,1960.229736328125,1.0563254356384277
5954,4.332024382079243,3.007276688332856,5.273532812746999,45.64783885729793,69.29802703857422,40.25864028930664,1158.84765625,2.1346518993377686
5955,4.07042026340672,2.411869613205648,4.731324989033917,31.02286851519871,71.646240234375,19.219554901123047,2110.374267578125,1.86344575881958
5956,7.396422571005669,7.314617061165299,10.402436714557439,33.48968404610824,35.7734489440918,41.41314697265625,1038.7330322265625,2.484919309616089
5957,4.6634614264597785,3.2366436394489493,5.676595328615878,37.12910591678369,34.423484802246094,53.348358154296875,1685.349609375,1.595280647277832
5958,1.5190189052425946,1.1516169688277784,1.9062109215342595,19.69038769580007,57.80634307861328,10.135063171386719,4569.26513671875,0.6318183541297913
5959,0.8229684528738749,0.7150325138077963,1.0902057467413735,26.58529848198633,69.40078735351562,14.965619087219238,2692.68115234375,1.9602843523025513
5960,8.952548128324922,7.882568399294155,11.928243900906994,25.84523085163695,23.326255798339844,38.24577713012695,628.4227905273438,1.843766450881958
5961,2.6791901601963364,0.40354191946863976,2.709410636146043,53.85930921813198,44.694969177246094,87.56195831298828,4062.342041015625,1.499471664428711
5962,4.382639838240216,3.774893740579737,5.7842332857863115,71.89162462479698,85.7598876953125,79.54397583007812,3583.069580078125,2.255486488342285
5963,4.647743259104322,1.7139822919870515,4.953711002853805,67.89047806216233,69.68832397460938,87.49673461914062,4092.66748046875,1.4778714179992676
5964,44.266971968299764,20.02604336702124,48.58608051880757,49.105942570203766,48.98133850097656,65.22662353515625,345.83233642578125,0.8600085377693176
5965,6.157696733221093,3.224064919495741,6.9506707347884635,45.80091242064742,82.37202453613281,34.83314895629883,2919.76025390625,2.477402687072754
5966,4.724762056646047,2.298168296404524,5.25404168336349,58.34567828236135,77.84605407714844,57.9531364440918,3355.49755859375,1.1216118335723877
5967,3.083904364785576,1.465441684116149,3.4143792203984464,23.237128326274306,69.23975372314453,11.827617645263672,1045.39794921875,1.863308310508728
5968,12.935675316843332,6.969472090789066,14.693714204620884,48.931818705163494,66.60411834716797,47.69831085205078,992.7113037109375,2.2900519371032715
5969,3.392559665534926,3.7467960303966636,5.0544971636761895,52.58631564021839,79.35885620117188,46.62646484375,2428.2216796875,2.272204637527466
5970,1.270269139936324,0.7108162102150697,1.4556247361799957,24.551134948872665,59.17224884033203,14.706441879272461,2556.134521484375,1.216383695602417
